Functions,CPU Time (s),Retiring,Front-End Bound,Bad Speculation,L1 Bound,L2 Bound,L3 Bound,Memory Bandwidth,Local DRAM,Remote DRAM,Remote Cache,Store Bound,Core Bound,CPU Time %,batch_size,gpus
decode_mcu,1826.957,41.0,8.1,41.9,17.0,0.2,0.1,15.5,0.0,0.0,0.0,0.0,5.5,21.912504082454365,512,2
jpeg_idct_islow,1432.826,70.1,2.6,6.0,1.7,0.0,0.0,13.8,0.0,0.0,0.0,0.1,20.1,17.185300789480408,512,2
ImagingResampleHorizontal_8bpc,636.076,88.8,1.8,1.1,0.6,0.1,0.0,16.9,0.0,0.0,0.0,0.0,7.9,7.629089215975659,512,2
ycc_rgb_convert,523.145,85.2,0.4,2.2,0.2,0.0,0.0,15.1,0.0,0.0,0.0,0.0,11.3,6.274595925473664,512,2
ImagingResampleVertical_8bpc,439.015,86.1,0.2,0.7,0.6,0.0,0.3,11.8,0.0,0.0,0.0,0.0,12.6,5.265541542443912,512,2
jpeg_idct_16x16,222.97,89.2,1.1,0.0,0.3,0.0,0.0,13.4,0.0,0.0,0.0,0.4,10.3,2.6742999617751537,512,2
__memmove_avx_unaligned_erms,217.555,7.6,1.9,0.4,19.6,14.6,32.1,66.0,23.0,0.0,0.0,79.6,9.2,2.609352505646471,512,2
decompress_onepass,138.48,52.3,5.7,24.2,2.9,0.2,0.1,12.1,0.0,0.0,0.0,0.1,16.1,1.660927742326875,512,2
ImagingUnpackRGB,134.165,91.4,6.1,0.5,0.5,0.1,0.2,14.3,0.0,0.0,0.0,0.7,1.6,1.6091736752548034,512,2
__memset_avx2_unaligned_erms,29.155,39.4,25.0,16.5,6.8,0.0,0.0,15.6,0.0,0.0,0.0,4.1,10.8,0.34968477995046243,512,2
_int_free,8.915,28.8,62.8,20.5,14.5,0.0,24.0,37.3,0.0,0.0,0.0,0.0,0.0,0.10692642130881057,512,2
__libc_calloc,1.865,5.8,55.3,9.5,19.0,2.1,19.0,14.7,0.0,0.0,0.0,6.3,7.8,0.022368791445982247,512,2
decode_mcu,1868.947,41.3,8.2,42.1,17.2,0.2,0.1,14.0,0.0,0.0,0.0,0.0,5.3,21.753024588365584,512,3
jpeg_idct_islow,1468.846,70.2,2.8,6.2,1.9,0.0,0.0,12.2,0.1,0.0,0.0,0.1,19.5,17.09617402447605,512,3
ImagingResampleHorizontal_8bpc,655.306,91.8,1.7,0.0,0.6,0.1,0.1,14.8,0.0,0.0,0.0,0.1,6.3,7.627229413623554,512,3
ycc_rgb_convert,528.361,84.2,0.4,0.0,0.2,0.0,0.0,12.3,0.0,0.0,0.0,0.1,15.5,6.149692754547577,512,3
ImagingResampleVertical_8bpc,453.56,86.3,0.2,0.8,0.7,0.1,0.3,8.8,0.0,0.0,0.4,0.1,12.1,5.279069889247312,512,3
__memmove_avx_unaligned_erms,231.23,7.7,1.6,0.1,22.5,12.2,29.0,66.2,29.6,0.0,0.7,79.5,8.5,2.6913293290648554,512,3
jpeg_idct_16x16,224.87,87.7,1.0,4.0,0.4,0.0,0.0,10.9,0.0,0.0,0.0,0.4,6.9,2.617304096470242,512,3
decompress_onepass,143.865,51.1,5.0,22.3,3.0,0.0,0.1,11.8,0.0,0.0,0.0,0.2,18.6,1.6744717118276846,512,3
ImagingUnpackRGB,137.925,88.2,6.6,0.7,0.8,0.0,0.0,13.0,0.0,0.0,0.0,0.9,3.7,1.6053349379893191,512,3
__memset_avx2_unaligned_erms,29.725,42.8,28.0,17.4,3.8,0.0,0.0,12.9,0.0,0.0,0.0,3.4,6.9,0.34597484887969915,512,3
_int_free,10.235,17.1,55.9,10.5,17.0,0.0,17.9,44.4,0.0,0.0,0.0,0.5,2.7,0.11912708421475932,512,3
__libc_calloc,2.44,10.1,48.1,3.4,43.8,6.6,8.8,21.9,0.0,0.0,0.0,11.0,0.0,0.028399617536298265,512,3
decode_mcu,1884.467,41.2,8.5,42.1,16.9,0.2,0.1,12.8,0.0,0.0,0.0,0.0,4.9,21.696626458028472,512,4
jpeg_idct_islow,1496.031,69.7,2.9,5.4,1.9,0.0,0.0,11.4,0.0,0.0,0.0,0.2,20.6,17.224406570468357,512,4
ImagingResampleHorizontal_8bpc,670.056,89.0,1.7,1.4,0.8,0.1,0.2,12.4,0.0,0.0,0.0,0.1,7.3,7.714624208309684,512,4
ycc_rgb_convert,549.291,83.9,0.7,0.0,0.2,0.1,0.0,11.7,0.0,0.0,0.0,0.1,14.8,6.324208194548866,512,4
ImagingResampleVertical_8bpc,460.16,88.1,0.5,0.0,0.8,0.0,0.3,10.2,0.0,0.0,0.0,0.1,11.5,5.298007145217391,512,4
__memmove_avx_unaligned_erms,242.28,6.4,1.6,1.2,23.1,12.2,30.5,65.6,38.9,0.0,0.0,79.6,9.5,2.789467079153489,512,4
jpeg_idct_16x16,234.86,84.7,1.4,2.1,0.4,0.0,0.0,10.9,0.0,0.0,0.0,0.5,11.3,2.7040376350090325,512,4
ImagingUnpackRGB,143.405,87.4,6.1,1.6,1.1,0.1,0.2,11.8,0.0,0.0,0.0,1.1,4.2,1.6510794390209926,512,4
decompress_onepass,140.47,54.6,6.7,27.9,3.2,0.1,0.1,10.8,0.0,0.0,0.0,0.4,9.6,1.6172876036350117,512,4
__memset_avx2_unaligned_erms,29.665,41.9,23.4,20.4,6.7,0.0,0.0,13.8,0.0,0.0,0.0,3.0,7.0,0.3415450755451884,512,4
_int_free,9.555,27.4,58.7,12.4,11.0,6.8,12.8,35.7,0.0,0.0,0.0,1.1,0.5,0.11001055778979522,512,4
__libc_calloc,2.73,9.2,48.7,6.0,15.9,14.3,15.9,12.7,0.0,0.0,0.0,11.1,5.1,0.03143158793994149,512,4
decode_mcu,1865.257,41.0,8.2,41.3,16.9,0.2,0.1,14.2,0.0,0.0,0.0,0.0,5.8,21.61525397900538,1024,2
jpeg_idct_islow,1466.766,69.4,2.6,6.3,1.7,0.0,0.0,12.8,0.0,0.0,0.0,0.2,20.4,16.99740015331389,1024,2
ImagingResampleHorizontal_8bpc,642.541,90.8,1.8,2.7,0.8,0.0,0.1,15.0,0.0,0.0,0.0,0.0,4.5,7.445991038727691,1024,2
ycc_rgb_convert,531.876,85.8,0.4,0.0,0.1,0.1,0.0,13.2,0.0,0.0,0.0,0.1,13.2,6.163566106620945,1024,2
ImagingResampleVertical_8bpc,444.725,86.2,0.2,0.0,0.6,0.2,0.2,11.2,0.0,0.0,0.0,0.0,13.7,5.153629674523762,1024,2
jpeg_idct_16x16,221.69,86.5,1.1,1.3,0.4,0.0,0.0,11.6,0.0,1.0,0.0,0.3,10.6,2.569021670796948,1024,2
__memmove_avx_unaligned_erms,218.165,6.7,1.6,1.5,21.0,12.2,30.7,66.6,14.4,0.0,0.0,78.7,11.1,2.5281727313339175,1024,2
decompress_onepass,141.3,53.5,5.4,25.2,3.5,0.0,0.1,13.1,0.0,0.0,0.0,0.2,13.4,1.6374340840074373,1024,2
