,CPU Time (s),Retiring,Front-End Bound,Bad Speculation,L1 Bound,L2 Bound,L3 Bound,Memory Bandwidth,Local DRAM,Remote DRAM,Remote Cache,Store Bound,Core Bound,CPU Time %,Function,config,python_func
22,667.346,200646849600000.0,4575009600000.0,435715200000.0,3921436800000.0,217857600000.0,435715200000.0,20478614400000.0,435715200000.0,0.0,0.0,0.0,11110737600000.0,6.878026965820118,ImagingResampleHorizontal_8bpc,12,RandomResizedCrop
38,8.197364193539773,474534299958.86914,1418809624119.4473,426601542387.26624,330736027244.0603,11983189392.900736,505690592380.4111,989811443853.6008,220490684829.37354,0.0,0.0,21569740907.221325,16776465150.061031,0.08448644626897411,_int_free,12,RandomResizedCrop
26,22.621250883934493,420894893029.0099,158828261520.38107,39707065380.09527,2088591638993.0112,690902937613.6577,1389747288303.3345,4073944907997.775,5860762850102.062,206476739976.4954,0.0,6361071873891.263,682961524537.6387,0.2331467837977355,__memmove_avx_unaligned_erms,12,ToTensor
29,101.77601026594631,4736194933131.841,278599701948.9318,278599701948.9318,8950015425109.436,5571994038978.637,4039695678259.5117,34650837929898.395,0.0,0.0,0.0,4666545007644.608,12084262072034.918,1.0489583260898603,AVX2::div_true_kernel(float),12,ToTensor
38,2.977635806460228,172371300041.1309,515372775880.553,154960057612.73383,120137572755.93971,4352810607.099265,183688607619.589,359542156146.3993,80091715170.62646,0.0,0.0,7835059092.778677,6093934849.938971,0.03068911684677059,_int_free,12,ToTensor
32,85.985,28451200000000.0,312963200000.0,0.0,256060800000.0,0.0,170707200000.0,6173910400000.0,0.0,0.0,0.0,56902400000.0,0.0,0.8862076773608335,AVX2::direct_copy_kernel(unsigned char),12,ToTensor
33,55.83,3103878400000.0,78579200000.0,117868800000.0,5598768000000.0,3025299200000.0,1689452800000.0,14969337600000.0,0.0,0.0,0.0,13201305600000.0,3614643200000.0,0.575414021364835,"AVX2::copy_kernel(char**long const*, long, long)",12,ToTensor
34,37.57,10664774400000.0,681766400000.0,121744000000.0,365232000000.0,121744000000.0,133918400000.00002,3335785600000.0,0.0,0.0,0.0,1558323200000.0,474801600000.0,0.3872166359068036,ImagingPackRGB,12,ToTensor
48,158.4583183149277,2923662469795.908,1409622976508.7415,313249550335.2759,7204739657711.346,5220825838921.265,8405529600663.238,40879066318753.51,52208258389212.65,52208258389212.65,0.0,47979389459686.42,2714829436239.0576,1.54168577642038,AVX2::direct_copy_kernel(float),16,Collation
47,265.07,76334400000000.0,2629296000000.0,0.0,1357056000000.0,84816000000.0,0.0,5343408000000.0,0.0,0.0,0.0,1187424000000.0,5937120000000.0,2.5789409675771653,jpeg_idct_16x16,16,Loader
46,290.87630548029205,5131658594900.173,1677657617563.518,296057226628.8561,25164864263452.77,7006687696882.928,13914689651556.236,46382298838520.79,98685742209618.7,2171086328611.6116,0.0,75988021501406.4,8684345314446.446,2.8300178092602537,__memmove_avx_unaligned_erms,16,Loader
43,595.736,167639520000000.0,4525480000000.0,3541680000000.0,2754640000000.0,196760000000.0,393520000000.0,12789400000000.0,393520000000.0,0.0,0.0,1574080000000.0,17511640000000.0,5.796083963709775,ycc_rgb_convert,16,Loader
40,1957.253,272014142400000.0,62138428800000.01,280256995200000.03,117302136000000.0,2536262400000.0,1902196800000.0,43116460800000.0,0.0,0.0,0.0,634065600000.0,12681312000000.0,19.042667769318705,decode_mcu,16,Loader
45,393.516,41616995200000.0,22047875200000.0,70057449600000.0,11089168000000.0,260921600000.0,0.0,8610412800000.0,260921600000.0,0.0,0.0,130460800000.0,0.0,3.828628414370151,jpeg_fill_bit_buffer,16,Loader
59,3.605,71928000000.0,499944000000.0,79920000000.0,404928000000.0,15096000000.0,209568000000.0,104784000000.0,0.0,0.0,0.0,224664000000.0,70152000000.0,0.0350740641646194,__libc_calloc,16,Loader
51,156.935,28479462400000.0,4459417600000.0,13428928000000.0,2736460800000.0,202700800000.0,101350400000.0,3040512000000.0,202700800000.0,0.0,0.0,658777600000.0,3445913600000.0,1.5268649818792108,decompress_onepass,16,Loader
56,33.705,4959348800000.0,3054587200000.0,1927990400000.0,557491200000.0,104529600000.0,0.0,917537600000.0,0.0,0.0,0.0,1533100800000.0,871080000000.0,0.3279254736944518,__memset_avx2_unaligned_erms,16,Loader
41,1574.652,388315008000000.0,23503276800000.0,32700211200000.0,14306342400000.0,0.0,0.0,29634566400000.0,510940800000.0,0.0,510940800000.0,3065644800000.0,60801955200000.0,15.32023447571328,jpeg_idct_islow,16,Loader
50,159.75,46594144000000.0,3113312000000.0,0.0,1319200000000.0,158304000000.0,0.0,4010368000000.0,0.0,0.0,0.0,2902240000000.0,3482688000000.0,1.5542529127040108,ImagingUnpackRGB,16,Loader
49,68.15672435064482,2601348392930.7373,304662424397.2936,70306713322.45236,5343310212506.379,2812268532898.094,2460734966285.8325,19639008588071.69,164048997752.38882,0.0,0.0,2859139675113.0625,7288462614427.562,0.663116039701747,AVX2::div_true_kernel(float),16,Normalize
55,37.995,3657326400000.0,2974089600000.0,66984000000.0,388507200000.0,1527235200000.0,2585582400000.0,10811217600000.0,415300800000.0,0.0,0.0,267936000000.0,2518598400000.0,0.3696640965144844,add_kernel(float),16,Normalize
