
"AMD uProf (Version:4.0.341.0)"
PERFORMANCE ANALYSIS REPORT

EXECUTION
Target Path:,"/home/rbachkaniwala3/work/anaconda3/envs/amduprof/bin/python"
Command Line Arguments:,"/home/rbachkaniwala3/work/rajveerb_AMDProfileControl-python/low_level_func/Collation.py "
Working Directory:,"/data/home/rbachkaniwala3/work/rajveerb_AMDProfileControl-python"
Environment Variables:
CPU Details:,"Family(0x19), Model(0x1), Number of Cores(128)"
Operating System:,"LinuxUbuntu 20.04.5 LTS-64 Kernel:5.4.0-137-generic"

PROFILE DETAILS
Profile Session Type:,"Time-based Sampling"
Profile Scope:,"Single Application"
CPU Mask:,"0-127"
CPU Affinity Mask:,"0-127"
Profile Start Time:,"Tue May 28 01:39:24 2024"
Profile End Time:,"Tue May 28 01:40:02 2024"
Profile Duration:,"0.011 seconds"
Data Folder:,"/home/rbachkaniwala3/low_level_func/AMDuProf-python-TBP_May-28-2024_01-39-24"
Virtual Machine:,"No"
Call Stack Sampling:,"False"

MONITORED EVENTS
TBP Events:,Name,Interval,Description
"pt_mai [TID:1435203] (PID:1434981)",984.0000
"pt_mai [TID:1435204] (PID:1434981)",984.0000
"pt_mai [TID:1435250] (PID:1434981)",984.0000
"pt_mai [TID:1435253] (PID:1434981)",982.0000
"pt_mai [TID:1435198] (PID:1434981)",980.0000
"pt_mai [TID:1435208] (PID:1434981)",980.0000
"pt_mai [TID:1435223] (PID:1434981)",980.0000
"pt_mai [TID:1435207] (PID:1434981)",978.0000
"pt_mai [TID:1435231] (PID:1434981)",973.0000
"pt_mai [TID:1435217] (PID:1434981)",966.0000
"pt_mai [TID:1435222] (PID:1434981)",966.0000
"pt_mai [TID:1435192] (PID:1434981)",960.0000
"pt_mai [TID:1435205] (PID:1434981)",960.0000
"pt_mai [TID:1435233] (PID:1434981)",960.0000
"pt_mai [TID:1435236] (PID:1434981)",955.0000
"pt_mai [TID:1435244] (PID:1434981)",954.0000
"pt_mai [TID:1435251] (PID:1434981)",953.0000
"pt_mai [TID:1435232] (PID:1434981)",952.0000
"pt_mai [TID:1435206] (PID:1434981)",948.0000
"pt_mai [TID:1435214] (PID:1434981)",941.0000
"pt_mai [TID:1435196] (PID:1434981)",928.0000
"pt_mai [TID:1435202] (PID:1434981)",918.0000
"pt_mai [TID:1435209] (PID:1434981)",918.0000
"pt_mai [TID:1435248] (PID:1434981)",870.0000
