Source Function / Function / Call Stack	CPU Time	Clockticks	Instructions Retired	CPI Rate	Retiring	Front-End Bound	Bad Speculation	L1 Bound	L2 Bound	L3 Bound	Memory Bandwidth	Local DRAM	Remote DRAM	Remote Cache	Store Bound	Core Bound	Average CPU Frequency	Module	Function (Full)	Source File	Start Address
__errno_location	2.035s	8,928,000,000	2,016,000,000	4.429	10.1%	96.4%	16.7%	8.4%	0.0%	31.9%	43.7%	0.0%	0.0%	0.0%	0.0%	0.0%	4.4 GHz	[Unknown]	__errno_location	errno-loc.c	0
_Py_NewReference	2.035s	6,720,000,000	1,792,000,000	3.750	13.4%	49.6%	24.1%	0.0%	0.0%	44.6%	26.8%	0.0%	0.0%	0.0%	6.7%	4.5%	3.3 GHz	[Unknown]	_Py_NewReference	object.c	0
PyObject_GetItem	2.015s	6,160,000,000	7,360,000,000	0.837	22.3%	56.4%	0.7%	14.6%	0.0%	15.2%	17.0%	0.0%	0.0%	0.0%	4.9%	11.3%	3.1 GHz	[Unknown]	PyObject_GetItem	abstract.c	0
at::TensorIteratorBase::build	1.995s	5,552,000,000	3,280,000,000	1.693	18.3%	100.0%	12.7%	32.4%	0.0%	18.9%	8.1%	0.0%	0.0%	0.0%	0.0%	14.4%	2.8 GHz	[Unknown]	at::TensorIteratorBase::build(at::TensorIteratorConfig&)	[Unknown]	0
at::TensorIteratorBase::fast_set_up	1.990s	6,144,000,000	3,968,000,000	1.548	26.2%	83.0%	0.0%	0.0%	26.9%	9.8%	14.6%	0.0%	0.0%	0.0%	0.0%	0.1%	3.1 GHz	[Unknown]	at::TensorIteratorBase::fast_set_up(at::TensorIteratorConfig const&)	[Unknown]	0
build_ycc_rgb_table	1.970s	8,272,000,000	3,888,000,000	2.128	19.4%	2.4%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	88.9%	44.6%	4.2 GHz	[Unknown]	build_ycc_rgb_table	[Unknown]	0
slot_tp_getattr_hook	1.970s	7,552,000,000	5,712,000,000	1.322	21.1%	11.3%	0.0%	2.0%	0.0%	33.8%	19.9%	27.1%	0.0%	0.0%	4.0%	13.4%	3.8 GHz	[Unknown]	slot_tp_getattr_hook	typeobject.c	0
[nvidia]	1.960s	6,688,000,000	8,336,000,000	0.802	26.1%	16.3%	9.8%	22.4%	0.0%	35.9%	15.7%	0.0%	0.0%	0.0%	9.0%	21.2%	3.4 GHz	[Unknown]	[nvidia]	[Unknown]	0
find_vma	1.950s	6,016,000,000	2,992,000,000	2.011	11.0%	18.3%	7.3%	17.5%	2.5%	44.9%	32.4%	0.0%	0.0%	0.0%	0.0%	16.3%	3.1 GHz	[Unknown]	find_vma	[Unknown]	0
fault_dirty_shared_page	1.945s	5,152,000,000	16,816,000,000	0.306	79.7%	86.8%	0.0%	5.8%	0.0%	0.0%	2.9%	0.0%	0.0%	0.0%	0.0%	0.0%	2.6 GHz	[Unknown]	fault_dirty_shared_page	[Unknown]	0
do_richcompare	1.910s	5,312,000,000	1,472,000,000	3.609	2.3%	19.6%	11.0%	5.6%	0.0%	48.0%	14.1%	0.0%	0.0%	0.0%	0.0%	19.6%	2.8 GHz	[Unknown]	do_richcompare	object.c	0
syscall_return_via_sysret	1.885s	7,248,000,000	1,248,000,000	5.808	4.9%	27.8%	22.3%	2.1%	0.0%	0.0%	8.3%	0.0%	0.0%	0.0%	0.0%	42.5%	3.8 GHz	[Unknown]	syscall_return_via_sysret	[Unknown]	0
__cancel_dirty_page	1.865s	5,072,000,000	19,328,000,000	0.262	100.0%	31.5%	0.0%	20.7%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	27.7%	2.7 GHz	[Unknown]	__cancel_dirty_page	[Unknown]	0
__strlen_avx2	1.865s	5,744,000,000	2,432,000,000	2.362	0.9%	31.8%	19.0%	0.0%	13.1%	6.5%	20.9%	0.0%	0.0%	0.0%	0.0%	0.0%	3.1 GHz	[Unknown]	__strlen_avx2	strlen-avx2.S	0
_PyType_GetModuleByDef	1.860s	5,120,000,000	5,296,000,000	0.967	20.3%	43.9%	0.0%	0.0%	8.8%	0.0%	8.8%	68.4%	0.0%	0.0%	8.8%	9.9%	2.8 GHz	[Unknown]	_PyType_GetModuleByDef	typeobject.c	0
prep_new_page	1.855s	7,072,000,000	4,240,000,000	1.668	6.4%	11.8%	50.2%	2.1%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	36.1%	14.9%	3.8 GHz	[Unknown]	prep_new_page	[Unknown]	0
getset_get	1.850s	7,072,000,000	4,432,000,000	1.596	16.7%	53.8%	13.1%	19.1%	0.0%	33.9%	17.0%	39.9%	0.0%	0.0%	0.0%	9.2%	3.8 GHz	[Unknown]	getset_get	descrobject.c	0
pmd_devmap_trans_unstable	1.835s	5,776,000,000	9,888,000,000	0.584	31.6%	24.2%	9.6%	5.2%	5.2%	0.0%	2.6%	0.0%	0.0%	0.0%	0.0%	0.0%	3.1 GHz	[Unknown]	pmd_devmap_trans_unstable	[Unknown]	0
free_unref_page_prepare.part.0	1.835s	4,192,000,000	10,624,000,000	0.395	70.0%	27.2%	0.0%	0.0%	17.9%	4.2%	3.6%	0.0%	69.6%	0.0%	0.0%	9.5%	2.3 GHz	[Unknown]	free_unref_page_prepare.part.0	[Unknown]	0
page_cache_free_page.isra.0	1.815s	5,328,000,000	3,840,000,000	1.387	27.6%	17.5%	46.5%	5.6%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	8.4%	2.9 GHz	[Unknown]	page_cache_free_page.isra.0	[Unknown]	0
ext4_mpage_readpages	1.795s	5,632,000,000	5,600,000,000	1.006	39.4%	54.1%	0.0%	8.0%	0.0%	10.7%	18.6%	0.0%	0.0%	0.0%	10.7%	3.7%	3.1 GHz	[Unknown]	ext4_mpage_readpages	[Unknown]	0
__strcmp_avx2	1.790s	5,200,000,000	2,288,000,000	2.273	15.6%	53.8%	17.0%	0.0%	14.4%	46.2%	31.7%	0.0%	0.0%	0.0%	0.0%	8.4%	2.9 GHz	[Unknown]	__strcmp_avx2	strcmp-avx2.S	0
fput_many	1.790s	3,792,000,000	7,728,000,000	0.491	67.1%	71.1%	0.0%	11.9%	0.0%	4.0%	4.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.1 GHz	[Unknown]	fput_many	[Unknown]	0
mem_cgroup_from_task	1.790s	7,408,000,000	16,096,000,000	0.460	52.1%	11.8%	0.0%	12.1%	2.0%	6.1%	6.1%	0.0%	0.0%	0.0%	0.0%	23.8%	4.1 GHz	[Unknown]	mem_cgroup_from_task	[Unknown]	0
tupleiter_next	1.785s	7,312,000,000	4,272,000,000	1.712	17.6%	14.7%	22.9%	18.5%	0.0%	0.0%	6.2%	20.5%	0.0%	0.0%	2.1%	21.8%	4.1 GHz	[Unknown]	tupleiter_next	tupleobject.c	0
at::TensorIteratorBase::compute_shape	1.780s	5,120,000,000	1,872,000,000	2.735	8.8%	62.3%	25.6%	11.7%	0.0%	0.0%	2.9%	0.0%	0.0%	0.0%	0.0%	2.0%	2.9 GHz	[Unknown]	at::TensorIteratorBase::compute_shape(at::TensorIteratorConfig const&)	[Unknown]	0
psi_task_change	1.770s	6,784,000,000	1,424,000,000	4.764	32.4%	46.4%	6.3%	8.8%	0.0%	57.5%	48.6%	0.0%	0.0%	0.0%	0.0%	7.4%	3.8 GHz	[Unknown]	psi_task_change	[Unknown]	0
THPVariable_Wrap	1.770s	5,952,000,000	2,256,000,000	2.638	4.7%	62.5%	3.7%	7.6%	0.0%	20.2%	22.7%	0.0%	0.0%	0.0%	0.0%	5.3%	3.4 GHz	[Unknown]	THPVariable_Wrap(at::TensorBase)	[Unknown]	0
unicode_dealloc	1.760s	5,248,000,000	2,240,000,000	2.343	6.5%	61.4%	22.2%	20.0%	0.0%	22.9%	17.1%	42.9%	0.0%	0.0%	0.0%	6.8%	3.0 GHz	[Unknown]	unicode_dealloc	unicodeobject.c	0
_Py_IS_TYPE	1.750s	3,760,000,000	2,288,000,000	1.643	26.7%	49.0%	8.0%	0.0%	16.0%	11.6%	19.9%	100.0%	0.0%	0.0%	8.0%	0.0%	2.1 GHz	[Unknown]	_Py_IS_TYPE	object.h	0
__pthread_cond_signal	1.750s	5,232,000,000	1,440,000,000	3.633	17.7%	94.1%	27.5%	0.0%	2.9%	0.0%	17.2%	0.0%	0.0%	0.0%	0.0%	78.6%	3.0 GHz	[Unknown]	__pthread_cond_signal	pthread_cond_signal.c	0
insertdict	1.740s	7,584,000,000	5,840,000,000	1.299	30.0%	49.6%	12.7%	9.9%	0.0%	7.3%	7.9%	0.0%	0.0%	0.0%	5.9%	2.2%	4.4 GHz	[Unknown]	insertdict	dictobject.c	0
omp_get_max_threads	1.740s	4,464,000,000	560,000,000	7.971	13.8%	79.6%	0.0%	13.4%	20.2%	90.7%	37.0%	49.1%	0.0%	0.0%	3.4%	0.0%	2.6 GHz	[Unknown]	omp_get_max_threads	[Unknown]	0
operator new	1.735s	5,104,000,000	3,632,000,000	1.405	25.6%	84.6%	0.0%	0.0%	11.8%	0.0%	35.3%	0.0%	0.0%	0.0%	5.9%	18.2%	2.9 GHz	[Unknown]	operator new(unsigned long)	new_op.cc	0
__lru_cache_add	1.735s	5,152,000,000	10,112,000,000	0.509	55.0%	79.6%	0.0%	23.3%	2.9%	0.0%	2.9%	0.0%	0.0%	0.0%	0.0%	0.0%	3.0 GHz	[Unknown]	__lru_cache_add	[Unknown]	0
